Column1;Column2
;Street Name
WB BEDELL ST @ 133RD;43449
SB KNAPP ST @ HARKNE;43330
OCEAN PKWY (N/B) @ A;43302
EB UNION TPKE @ 210T;43211
Canal St;43162
98th St;43148
President St;43141
E 72nd St;42966
W 145th St;42819
70th Rd;42805
WB PARK AVE @ N OXFO;42588
Audubon Ave;42574
Graham Ave;42546
Guy R Brewer Blvd;42525
NB 77TH ST @ 30TH AV;42525
SB UTICA AVE @ AVE I;42518
Gates Ave;42336
NB 3RD AVE @ E 112TH;42210
NB PARK AVE @ E 170T;42154
WB EASTERN PKWY @ TR;42056
24th St;42035
SB OCEAN PKWY @ BAY;42028
Williamsbridge Rd;42014
20th Ave;41951
RICHMOND AVE (N/B) @;41874
95th Ave;41839
94th St;41832
NB BAY ST @ VAN DUZE;41811
EB EASTERN PKWY @ WA;41762
SB REMSEN AVE @ FARR;41608
SB LEXINGTON AVE @ E;41447
E 80th St;41426
163rd St;41377
Lefferts Blvd;41328
Bruckner Blvd;41286
E 138th St;41265
EB E TREMONT AVE @ E;41237
23rd St;41230
E Gun Hill Rd;41167
Jefferson Ave;41013
W 71st St;41006
SB BOERUM PL @ SCHER;40978
EB 137TH AVE @ 167TH;40971
E 83rd St;40964
E 76th St;40929
NB BROADWAY @ W 120T;40894
Cruger Ave;40824
SB BAY PKWY @ 86TH S;40719
72nd St;40712
Franklin St;40656
E 170th St;40628
E 94th St;40614
W 12th St;40509
WB 73RD AVE @ 196TH;40502
WB NORTHERN BLVD @ S;40390
E 71st St;40348
Castle Hill Ave;40292
South St;40250
WB DITMARS BLVD @ 79;39998
SB COLUMBUS AVE @ W;39956
104th St;39907
WB HOYT AVE N @ 24TH;39837
Wooster St;39823
NB ROGERS AVE @ MONT;39620
EB EAST FORDHAM ROAD;39571
Eldridge St;39571
E 89th St;39564
Cross Bay Blvd;39487
56th St;39473
102nd St;39445
NB FLATBUSH AVE @ E;39424
SB BROADWAY @ W 196T;39354
SB BOSTON RD @ WARIN;39291
NB 21ST ST @ 37TH AV;39228
SB UTOPIA PKWY @ 56T;39179
EB QUEENS BLVD @ 51S;39074
Barnes Ave;39060
Shore Pky;39018
NB FLATBUSH AVE @ LI;38920
WB E GUN HILL RD @ B;38871
Belmont Ave;38850
Bond St;38794
WB W 125TH ST @ ST N;38787
51st St;38752
E 90th St;38710
21st Ave;38640
Lee Ave;38577
90th Ave;38493
63rd Dr;38458
Arthur Ave;38437
E 180th St;38423
E 70th St;38304
Rockaway Blvd;38290
E 25th St;38283
E 69th St;38248
SB RALPH AVE @ E 66T;38185
SB KISSENA BLVD @ QU;38178
Edgecombe Ave;38164
EB NEPTUNE AVE @ W 5;38087
NB LONGFELLOW AVE @;38073
E 62nd St;37975
NB ROGERS AVE @ LIND;37933
WB LINCOLN AVE @ N R;37933
47th Ave;37898
ASTORIA BLVD (W/B) @;37891
E 178th St;37856
4TH AVE (N/B) @ 18TH;37800
Pierrepont St;37765
Carroll St;37758
Lincoln Pl;37653
40th St;37590
Bay Pky;37590
NB 4TH AVE @ E 11TH;37562
WB 65TH ST @ 13TH AV;37562
E 85th St;37555
SB SHORE RD @ 83RD S;37555
Avenue M;37520
Foster Ave;37492
WB ATLANTIC AVE @ BR;37485
Boston Rd;37429
LINDEN BLVD (W/B) @;37401
WB ROCKAWAY BLVD @ L;37359
NB BOSTON RD @ RADCL;37261
WB MERRICK BLVD @ 10;37226
E 61st St;37191
Rogers Ave;37170
F D R Dr;37114
27th St;37058
E 179th St;37016
NB OCEAN PKWY @ SHOR;37016
Rivington St;36988
University Pl;36855
57th St;36715
89th St;36680
60th St;36652
ATLANTIC AVE (E/B) @;36351
Tiebout Ave;36309
Joralemon St;36225
NORTHERN BLVD (W/B);36092
E 5th St;36085
WB UNION TRPK @ 213T;36071
Beaver St;35945
SB 164TH ST @ JEWEL;35917
E 73rd St;35903
WOODHAVEN BLVD (N/B);35875
Greenwich Ave;35847
Delancey St;35770
NB MAIN ST @ ELDER A;35644
Leonard St;35595
NB HOWARD AVE @ SUTT;35567
45th Ave;35560
64th St;35546
88th Ave;35483
BEDFORD AVE (N/B) @;35483
Cortelyou Rd;35483
W 10th St;35462
SB CROSS BAY BLVD @;35448
Olinville Ave;35441
59th St;35413
Lydig Ave;35413
KINGS HWY (S/B) @ RE;35392
52nd St;35385
71st Rd;35322
54th St;35273
28th Ave;35252
Forest Ave;35238
NB WEST END AVE @ W;35224
WB E 233RD ST @ MONT;35203
SB KINGS HWY @ E 95T;35014
W 110th St;35007
Broad St;34874
W 97th St;34874
WB ATLANTIC AVE @ RO;34790
Clinton Ave;34671
E Mosholu Pky;34671
NB MARSH AVE @ ELMWO;34671
NB 150TH ST @ SUTTER;34559
NB 3RD AVE @ 6TH ST;34552
W 126th St;34545
Marcy Ave;34482
NB MCGUINNESS BLVD @;34482
SB OCEAN PKWY @ BEVE;34468
Marion Ave;34461
Avenue D;34419
SB BOSTON RD @ DE RE;34363
Flushing Ave;34328
NB WHITE PLAINS RD @;34314
93rd St;34230
WB UNION TPKE @ WOOD;34216
88th St;34202
E 63rd St;34195
S CONDUIT AVE (E/B);34132
WB DELANCEY ST @ ELR;34083
NB WILLETS POINT BLV;34062
Stanton St;34041
W 83rd St;34041
Newtown Ave;33992
Central Ave;33950
W 9th St;33880
21st St;33873
W 77th St;33768
Wallace Ave;33740
Ashland Pl;33691
