Column1;Column2
;Street Name
S/O E 56TH ST;14
S/O E 58TH ST;14
S/O E 64TH ST;14
S/O FATHER CAPODANNO;14
S/O LEROY ST;14
S/O OAKLEY ST;14
S/O RIVER AVE;14
S/O SHORE PKWY;14
S/O SMITH ST;14
S/R COZINE AVE;14
S/S 1 PL;14
S/S 101 AVE;14
S/S 102 AVE;14
S/S 108;14
S/S 120 AVE;14
S/S 125TH ST;14
S/S 128TH ST;14
S/S 133RD ST;14
S/S 138 PL;14
S/S 139 ST;14
S/S 140 AVE;14
S/S 153 ST;14
S/S 158 ST;14
S/S 162ND ST;14
S/S 164 ST;14
S/S 183 ST;14
S/S 19 AVE;14
S/S 21 AVENUE;14
S/S 30TH;14
S/S 30TH ST;14
S/S 31 ST;14
S/S 31ST AVE;14
S/S 31ST AVENUE;14
S/S 35 AVE;14
S/S 35 AVENUE;14
S/S 36 ST;14
S/S 3RD AVE;14
S/S 3RD PL;14
S/S 4 PL;14
S/S 40 ST;14
S/S 41RD;14
S/S 45TH AVE;14
S/S 52 STREET;14
S/S 56 ROAD;14
S/S 56 ST;14
S/S 58TH ST;14
S/S 61 ST;14
S/S 62ND RD;14
S/S 67 ST;14
S/S 71 ST;14
S/S 75 RD;14
S/S 84 ST;14
S/S 85 AVE;14
S/S 86 AVE;14
S/S 86 ST;14
S/S 88 ST;14
S/S 92 ST;14
S/S 95TH AVE;14
S/S 99TH ST;14
S/S 9TH AVE;14
S/S ADEE AVE;14
S/S ANN ST;14
S/S ATLANTIC AV;14
S/S AVE F;14
S/S AVE R;14
S/S AVENUE I;14
S/S AVENUE M;14
S/S BABBAGE ST;14
S/S BARNETT AVE;14
S/S BAUGHMAN PL;14
S/S BAY RIDGE AVE;14
S/S BEEKMAN;14
S/S BEEKMAN ST;14
S/S BLOOMFIELD AVE;14
S/S BOKEE CT;14
S/S BOSCOBEL PLACE;14
S/S BOSTON RD;14
S/S BRONX PARK SOUTH;14
S/S BRONXDALE AVE;14
S/S CALDWELL AVE;14
S/S CHURCH AVE;14
S/S CLEVELAND ST;14
S/S COZINE AVENUE;14
S/S CROSSBAY BLVD;14
S/S CROWN ST;14
S/S DAHILL RD;14
S/S DALY AVE;14
S/S DITMAS AVE;14
S/S DRUMGOOLE ROAD;14
S/S DRUMGOOLE ROAD E;14
S/S DUMONT AV;14
S/S DUTCH KILLS;14
S/S E 103RD ST;14
S/S E 11 ST;14
S/S E 115 ST;14
S/S E 118 ST;14
S/S E 121 ST;14
S/S E 134 ST;14
S/S E 138 ST;14
S/S E 140TH ST;14
S/S E 141 ST;14
S/S E 145 ST;14
S/S E 146TH ST;14
S/S E 153RD STREET;14
S/S E 165TH STREET;14
S/S E 174 ST;14
S/S E 220;14
S/S E 30 ST;14
S/S E 33;14
S/S E 37 ST;14
S/S E 38TH ST;14
S/S E 44TH ST;14
S/S E 45TH ST;14
S/S E 49 ST;14
S/S E 4TH ST;14
S/S E 50 ST;14
S/S E 53 ST;14
S/S E 54TH ST;14
S/S E 55TH ST;14
S/S E 58 ST;14
S/S E 58TH ST;14
S/S E 59TH ST;14
S/S E 5TH ST;14
S/S E 60 ST;14
S/S E 61 ST;14
S/S E 97TH ST;14
S/S E 9TH ST;14
S/S E NEW YORK AVE;14
S/S EAST 144TH STREE;14
S/S EAST 161ST ST;14
S/S EAST 31ST;14
S/S EAST 93 ST;14
S/S EAST 94TH STREET;14
S/S ERIK PL;14
S/S FARRAGUT RD;14
S/S FLATBUSH AVE;14
S/S FLATLAND AVE;14
S/S FT HAMILTON PKWY;14
S/S FULTON;14
S/S GIVAN AVE;14
S/S GRAND ST;14
S/S GREENE AVE;14
S/S GUIDER AVE;14
S/S GUY R BREWER BLV;14
S/S HAMILTON AVE;14
S/S HAWTHORNE ST;14
S/S HEGEMAN AVE;14
S/S HEMLOCK ST;14
S/S HENRY ST;14
S/S HIMROD STREET;14
S/S HOFFMAN DR;14
S/S HOLLERS AVE;14
S/S HOME STREET;14
S/S LANCASTER AVE;14
S/S LAWRENCE AV;14
S/S LEROY ST;14
S/S LINCOLN PL;14
S/S LINWOOD ST;14
S/S MACE AVE;14
S/S MACY PL;14
S/S MAIN ST;14
S/S MARCY AVE;14
S/S MIDWOOD ST;14
S/S MONTAGUE ST;14
S/S MORRIS AVE;14
S/S MURRY PL;14
S/S NEREID AVE;14
S/S NEWPORT AVE;14
S/S NOBLE ST;14
S/S OCEAN COURT;14
S/S OF MATHEWSON RD;14
S/S OF W 82ND ST;14
S/S OLIVER ST;14
S/S OVERBAUGH PL;14
S/S PELHAM PKWY SOUT;14
S/S PERSHING CRESCEN;14
S/S PIKE ST;14
S/S PITKIN AVE;14
S/S POLY PL;14
S/S PROSPECT ST;14
S/S PUTNAM AVE;14
S/S QUEENS BLVD;14
S/S QUINCY STREET;14
S/S ROCKAWAY BEACH B;14
S/S ROOSEVELT AVE;14
S/S SCHOLES ST;14
S/S SEAGIRT AVENUE;14
S/S SENECA AVE;14
S/S SHEIFFIELD AVE;14
S/S SHORE PKWT;14
S/S SHORE RD DR;14
S/S SPRUCE ST;14
S/S STARR STREET;14
S/S SUTTER AV;14
S/S SUTTER AVE;14
S/S UNION TPKE;14
S/S VARICK AVE;14
S/S VETERANS ROAD;14
S/S VETERANS ROAD E;14
S/S W 102ND STREET;14
S/S W 13 ST;14
S/S W 176 ST;14
S/S W 238TH ST;14
S/S W 27 ST;14
S/S W 32ND ST;14
S/S W 34 ST;14
S/S W 35 ST;14
S/S W 37 ST;14
S/S W 39 ST;14
S/S W 3RD ST;14
S/S W 46 ST;14
S/S W 47 ST;14
S/S W 48 ST;14
S/S W 49 ST;14
S/S W 51 ST;14
S/S W 52ND ST;14
S/S W 53 ST;14
S/S W 55;14
S/S W 57 ST;14
S/S W 70 ST;14
S/S W 83RD ST;14
S/S W BRIGHTON AVE;14
S/S WALNUT AVE;14
S/S WASHINGTON PL;14
S/S WEBSTER AVE;14
S/S WEXFORD TER;14
S/S WHITEHALL ST;14
S/S WYCKOFF ST;14
S/S of 14 AVENUE 5';14
S/S of 30 AVENUE 10';14
S/S of 34 AVENUE 150;14
S/S of 34 AVENUE 20';14
S/S of 37 AVENUE 10';14
S/S of 37 AVENUE 30';14
S/S of 37 ROAD 50' W;14
S/S of 41 AVENUE 15';14
S/S of 45 AVENUE 5';14
S/S of 50 AVENUE 20';14
S/S of 53 AVENUE 20';14
S/S of 56 AVENUE 20';14
S/S of 56 AVENUE 40';14
S/S of 56 ROAD 30' W;14
S/S of 57 AVENUE 30';14
S/S of 57 AVENUE 40';14
S/S of 58 ROAD 110';14
S/S of 59 STREET 12';14
S/S of 64 STREET 100;14
S/S of 68 STREET 0';14
S/S of 79 AVENUE 10';14
S/S of 79 AVENUE 20';14
S/S of 85 ROAD 50' W;14
S/S of 97 STREET 20';14
S/S of 97 STREET 30';14
S/S of 98 STREET 50';14
S/S of AVENUE L 50';14
S/S of AVENUE M 15';14
S/S of AVENUE P 15';14
S/S of AVENUE P 30';14
S/S of AVENUE P 5' W;14
S/S of AVENUE P 50';14
S/S of AVENUE P 60';14
S/S of AVENUE P 70';14
S/S of AVENUE X 0' W;14
S/S of AVENUE X 30';14
S/S of BELMONT AVENU;14
S/S of BENSON AVENUE;14
S/S of BRAGG STREET;14
S/S of BRIGHTON 13 S;14
S/S of BURCHELL AVEN;14
S/S of CARROLL STREE;14
S/S of CARVER LOOP 3;14
S/S of DITMAS AVENUE;14
S/S of DUMONT AVENUE;14
S/S of EAST 105 STRE;14
S/S of EAST 139 STRE;14
S/S of EAST 14 STREE;14
S/S of EAST 142 STRE;14
S/S of EAST 211 STRE;14
S/S of EAST 218 STRE;14
S/S of EAST NEW YORK;14
S/S of ELIZABETH AVE;14
S/S of GOUVERNEUR AV;14
S/S of GREENE AVENUE;14
S/S of HIMROD STREET;14
S/S of LANCASTER AVE;14
S/S of MARTENSE AVEN;14
S/S of MASPETH AVENU;14
S/S of MORRISON AVEN;14
S/S of NEREID AVENUE;14
S/S of NEWBOLD AVENU;14
S/S of OCEAN COURT 2;14
S/S of REDFERN AVENU;14
S/S of SEABURY AVENU;14
S/S of SKIDMORE AVEN;14
S/S of SUBURBAN PLAC;14
S/S of SULLIVAN PLAC;14
S/S of SURF AVENUE 6;14
S/S of SURF AVENUE 9;14
S/S of TROUTMAN STRE;14
S/S of WEST 172 STRE;14
S/S of WEST 231 STRE;14
S/S of WEXFORD TERRA;14
S/S/E 134 STREET;14
S/S/E 34 ST;14
S/S/O 27 ST;14
S/S/O 38 ST;14
S/S/O 56TH RD;14
S/S/O AVE K;14
S/S/O AVENUE H;14
S/S/O CEDAR ST;14
S/S/O E 164TH STREET;14
S/S/O E 168 ST;14
S/S/O E 35TH ST;14
S/S/O E 36 ST;14
S/S/O ERSKINE ST;14
S/S/O FOSTER AVE;14
S/S/O HUNTER ST;14
S/S/O JACKSON AVE;14
S/S/O LINDEN BLVD;14
S/S/O OAK POINT AVE;14
S/S/O PARK AV E/B;14
S/S/O ROOSEVELT AVE;14
S/S/O SEAVIEW AVENUE;14
S/S/O W 29 ST;14
S/S/O W 40 ST;14
S/S/O W 8 ST;14
S/S/O WEST 36 ST;14
S/S/O XENIA ST;14
S/S/O/E 35TH ST;14
S/S/O/W 30TH ST;14
S/S/W 38TH ST;14
S/SO 27 ST;14
S/SO 53 AVE;14
S/SO CRESCENT ST;14
S/SO E 161ST STREET;14
S/SO E 35 ST;14
S/SO W 30TH ST;14
S/SO W 40 ST;14
S/W 101 AVE;14
S/W 242 ST;14
S/W 267 ST;14
S/W 3 AVE;14
S/W 560 HALLECK ST;14
S/W 72 ST;14
S/W 84 ST;14
S/W BLEECKER ST;14
S/W BROADWAY;14
S/W C/O 107 ST;14
S/W C/O 1252-1278 VI;14
S/W C/O 1331 VIELE A;14
S/W C/O 223 PL;14
S/W C/O 3 AVE;14
S/W C/O 41RD;14
S/W C/O 60 ST;14
S/W C/O 65 PL;14
S/W C/O 70 ST;14
S/W C/O 71 ST;14
S/W C/O 73 AVE;14
S/W C/O 74 ST;14
S/W C/O 76 AVE;14
S/W C/O 78 AVE;14
S/W C/O 80 ST;14
S/W C/O 97 AVE;14
S/W C/O 99 ST;14
S/W C/O ALBANY CRES;14
S/W C/O AMSTERDAM;14
S/W C/O AVE L;14
S/W C/O BEDFORD AVE;14
S/W C/O BRIGHTON BEA;14
S/W C/O BROADWAY;14
S/W C/O CORBIN PL;14
S/W C/O DELANCEY ST;14
S/W C/O DORCHESTER R;14
S/W C/O DRAKE ST;14
S/W C/O E 115 ST;14
S/W C/O E 19TH ST;14
S/W C/O E 211;14
S/W C/O E 55;14
S/W C/O E MOSHOLU PK;14
S/W C/O HENRY HUDSON;14
S/W C/O MORNINGSIDE;14
S/W C/O ONE LIGHTING;14
S/W C/O ROSEDALE AVE;14
S/W C/O SHALER AVE;14
S/W C/O SPOFFORD AVE;14
S/W C/O W 165 ST;14
S/W C/O W 176 ST;14
S/W C/O W 182 ST;14
S/W C/O W 228 ST;14
S/W C/O W 236 ST;14
S/W C/O W 261;14
S/W C/O W 54 ST;14
S/W C/O W 57 ST;14
S/W C/O WEBB AVE;14
S/W C/O WHITTIER ST;14
S/W C/O WOODHAVEN BL;14
S/W C/O ZEREGA AVE;14
S/W E 18 ST;14
S/W E 19 ST;14
S/W E 211 ST;14
S/W FARRAGUT RD;14
S/W LAKEVIEW PL;14
S/W ONDERDONK AVE;14
S/W SHEFFIELD AVE;14
S/W W 165 ST;14
S/W/C 102 STREET;14
S/W/C 109 STREET;14
S/W/C 119 STREET;14
S/W/C 121 STREET;14
S/W/C 126 STREET;14
S/W/C 127 STREET;14
S/W/C AVE J;14
S/W/C CENTER BLVD;14
S/W/C HICKS ST;14
S/W/C LOCKMAN AVE;14
S/W/C/O 1280 VIELE A;14
S/W/C/O 1393 RANDALL;14
S/W/C/O 1395 SPOFFOR;14
S/W/C/O 143 STREET;14
S/W/C/O 146 AVE;14
S/W/C/O 41 RD;14
S/W/C/O 43RD AVE;14
S/W/C/O 48TH ST;14
S/W/C/O 60 LN;14
S/W/C/O 641-699 HALL;14
S/W/C/O 772 EDGEWATE;14
S/W/C/O 80 AVE;14
S/W/C/O 80 ST;14
S/W/C/O CATHERINE SL;14
S/W/C/O HALLECK ST;14
S/W/C/O HUXLEY AVE;14
S/W/C/O OAK POINT AV;14
S/W/C/O PARSONS BLVD;14
S/W/C/O PRESIDENT ST;14
S/W/C/O SCHENECTADY;14
S/W/C/O W 259 ST;14
S/W/C/O WEBB AVE;14
S/W/C/O WHITTIER ST;14
S/W/C/O WOODHAVEN BL;14
S/W/O 109 AVE;14
S/W/S MORRIS AVE;14
S/W/S/O CHERRY ST;14
S/W/S/O W 170 ST;14
S/WC E 211 ST;14
S/WC/O HALLECK ST;14
S/WS/O MORRIS AVE;14
SABLE AVENUE;14
SABRE STREET;14
SACKET STREET;14
SACKETT AVENUE;14
SAINT ANNS AVENUE;14
SAINT EDWARDS STREET;14
SAINT FELIX ST;14
SAINT JAMES PL;14
SAINT JOHN PLACE;14
SAINT MARYS STREET;14
SAINT NIC AVE;14
SAINT NICHOLAS PL;14
SAINT RAYMOND AVE;14
SAINT RAYMOND AVENUE;14
SAINT RAYMONDS AVENU;14
SAMPON AVE;14
SANDERS PLACE;14
SANDS PLACE;14
SANTA MONICA LANE;14
SAPPHIRE ST;14
SARA D ROOSEVELT PK;14
SAWYER AVE;14
SAYDAM ST;14
SB 20 AV. 65 ST - 71;14
SB 74 ST GRAND AV -;14
SB BAINBRDG AV MOSHL;14
SB BROADWAY. W172 ST;14
SB CROTONA AV. E183;14
SB KATONAH AV. E240;14
SB KNAPP ST. VOORHIE;14
SB MURRAY ST @ 26TH;14
SB OCEAN AV. AVE H -;14
SB S/O 34 AVE;14
SCHECK ST;14
SCHENECTADY AV;14
SCHENECTDAY AVE;14
SCHENK AVE;14
SCHIEFFELIN;14
SCHURZ AVENUE;14
SCOTT PLACE;14
SCRANTON AVE;14
SCUDDER AVE;14
SE C/O 8 AVE;14
SE C/O 8TH AVE;14
SE C/O MERMAID AVE;14
SE C/O W 33 STREET;14
SE C/O W 5 ST;14
SE NORWOOD AV;14
SE OCEAN PARKWAY;14
SEAGATE AV;14
SEAGIRT;14
SEASIDE AVENUE;14
SEASPRAY AVE;14
SEC/O W 154 ST;14
SEGWICK AVE;14
SEIGEL STREET;14
SEMINOLE AVE;14
SEMINOLE ST;14
SENECA ST;14
SEVENTH AVENUE;14
SEXTON PL;14
SHAD CREEK ROAD;14
SHALER AVENUE;14
SHAMAN AVE;14
SHAUGHNESSY LANE;14
SHEEPHERD AVE;14
SHEFFILED AVE;14
SHEMAN AVE;14
SHEPHERD ST;14
SHERADEN AVE;14
SHERIF S BYRD;14
SHIRLEY CHISHOLM SP;14
SHORE FT PARKWAY;14
SHORE RD PARK;14
SHORE ROAD PARK;14
SIDNEY PLACE;14
SIGOURNEY STREET;14
SILVER RD;14
SILVER STREET;14
SIMINSON PLACE;14
SIMONSON AVE;14
SIMONSON PL;14
SIMONSON PLACE;14
SINCLAIR AVE;14
SKIDMORE AV;14
SKIDMORE PL;14
SKILLWELL AVE;14
SMEDLEY ST;14
SNEDIKER AV;14
SNYDEN AVE;14
SNYDER ST;14
SO 4234 BRONX BLVD;14
SO 70 TOMPKINS AVENU;14
SO 71-02 113 ST;14
SO 87-20 ATLANTIC AV;14
SO BRUCKNER BLVD;14
SO CONDUIT;14
SOHO DR;14
SOMERS;14
SOUNDVIEW LANE;14
SOUTH;14
SOUTH 1;14
SOUTH 3;14
SOUTH 4TH STREET;14
SOUTH AVENUE;14
SOUTH BEACH LOT 9;14
SOUTH BEACH PSYCHIAT;14
SOUTH BLVD;14
SOUTH ELLIOTT PL;14
SOUTH OXFORD ST;14
SOUTH PINEHURST;14
SOUTH SIDE VIELE AVE;14
SPA PL;14
SPOTFORD AVE;14
SPRINGFIELD BOUELVAR;14
SPRUCE AVE;14
SS E 128 ST;14
SS E 33RD ST;14
SS ROBERT WAGNER SR;14
SSO AVE K;14
SSO E 124 ST;14
SSO E 51 ST;14
ST;14
ST ANN ST;14
ST ANNE S;14
ST ANNS AV;14
ST CHARLES PL;14
ST CHARLES ST;14
ST EDWARDS ST;14
ST GEORGE CRESCENT;14
ST JAMES AV;14
ST JOHNS PLC;14
ST LAWRANCE AVE;14
ST LIBERTY AVE;14
ST MARGINAL;14
ST MARKS ST;14
ST MARKS STREET;14
ST MARYS;14
ST NICHOLAS TER;14
ST NICHOLSA AVE;14
ST OUEN ST;14
ST THERESA AV;14
ST VARTAN PARK;14
STAFF ST RIVERSIDE D;14
STANTON AVE;14
STAPLETON;14
STAPLETON ESPLANADE;14
STAR STREET;14
STARLIGHT PK;14
STARR AVE;14
STARTFORD AVE;14
STARTFORD RD;14
STATE;14
STATE AVE;14
STEPHEN;14
STERNS ST;14
STEVENSON PL;14
STEVENSON PLACE;14
STONE RD;14
STORE HOUSE;14
STORY;14
STRAUSS;14
STRAWBERRY LN;14
STREET;14
STUVYESANT OVAL;14
STUYVESANT PLACE;14
STUYVESANT ST;14
SUDYAM STREET;14
SULFOLK STREET;14
SULLIVAN AVENUE;14
SULLIVIAN ST;14
SUMMITT ST;14
SUNNYSIDE BLVD;14
SURF;14
SURT AVENUE;14
SUTPHIN  BLVD;14
SUYDAM AVE;14
SW C/O W 154 ST;14
SW CONEY ISLAND AVE;14
SW CORBIN PLACE;14
SW FARRAGUT RD;14
SW FLUSHING AVE;14
SWCO 772 EDGEWATER R;14
SWCO W 155 BRADHURST;14
SYBILLA ST;14
SYCAMORES PARK;14
SYNDER AV;14
SYRINGA PL;14
SZOLD PL;14
Sandhill Rd;14
Sandra Ln;14
Schenck Pl;14
School Ln;14
Scott A Gadell Pl;14
Seabreeze Ave;14
Seacoast Ter;14
Seagate Ave;14
Seaport Plz;14
Seeley Ln;14
Senger Pl;14
Shaler Ave;14
Shore Ct;14
Side of 1400 E New Y;14
Side of 4200 bx blvd;14
Side of 4234 bx blvd;14
Soundview Ter;14
South Conduit Avenue;14
South Railroad St;14
Stuyvesant Aly;14
Sweetbrook Rd;14
Sycamore Ave;14
T BOYLAND ST;14
TAFT AVENUE;14
TAHOE ST;14
TAMPA COURT;14
TAMPA CT;14
TAPSCOTT;14
TARGEE;14
TAYLOR PLAYGROUND;14
TENBROECK AVENUE;14
TENTH AV;14
TERM 4;14
TERMINAL 1;14
TERMINAL 5 ARRIVAL;14
TERMINAL 5 JFKIA;14
TERMINAL 5 LOWER LEV;14
TERMINAL 5 RECIRCULA;14
TERMINAL 8;14
TERMINAL ARRIVALS;14
TERMINAL B DEPARTURE;14
TERMINAL B LGA;14
TERMINAL C GARAGE;14
TERMINAL D ARRIVALS;14
TERRACE;14
TERRACE AVE;14
TERRACE COURT;14
TERRACEVIEW AVE;14
THEIRIOT AVE;14
THERIOT AVENUE;14
THIERIOT;14
THIERIOT AV;14
THOMPSON;14
THOMPSON AVE;14
THORUTON PL;14
THROGS NECK;14
THROGS NECK BOULEVAR;14
THROGSNECK EXPWY;14
THROOP ST;14
THWAITES PL;14
TIBBET AVE;14
TIEMANN AV;14
TIEMANN AVENUE;14
TIER ST;14
TOMLINSON;14
TOMPKING AVE;14
TONSON ST;14
TOTTEN RD;14
TRANTOR PL;14
TRATMAN AVENUE;14
TRAVIS AVE;14
TRINITY;14
TRUXTON;14
TRYON;14
TUDOR PLACE;14
TURNER AVE;14
TURNER PLACE;14
TURTLE CIRCLE MIDLAN;14
TUSKEGEE AIRMAN WAY;14
TYLER AVE;14
Teakwood Ct;14
Teunissen Pl;14
Thebes Ave;14
Tuttle St;14
Tyndale St;14
UN PLAZA;14
UNION PORT ROAD;14
UNION SQ WEST;14
UNION SQUARE EAST;14
UNIONPOINT RD;14
UNIONPORT AVENUE;14
UNIONPORT ST;14
UNIVERSITY WOOD;14
UNVERSITY AVE;14
UNVIERSITY AVE;14
UTRECHT AVE;14
Upland Pky;14
Utah St;14
VALENTINE PL;14
VAN BRUNT STREET   P;14
VAN BURNT ST;14
VAN CORTLANDT AVE E;14
VAN CORTLANDT GOLF H;14
VAN CORTLANDT PARK W;14
VAN CORTLANDT PARKS;14
VAN COURTLAND PARK S;14
VAN COURTLAND PK S;14
VAN COURTLANDT PK SO;14
VAN DUZER;14
VAN PELT AVENUE;14
VAN SINDEREN AVE;14
VAN WYCK SERVICE;14
VAN WYCK SR;14
VANDALIA;14
VANDERVEER;14
VANDERVEER PL;14
VANDERVORT AV;14
VANDEVEER ST;14
VARET;14
VARIAN AVE;14
VASWANI AVE;14
VC GOLF COURSE;14
VCP;14
VCP GOLF COURSE;14
VERMONT PL;14
VERNONA ST;14
VILLAGE COURT;14
VILLAGE ROAD EAST;14
VINELAND AVE;14
VIRGINIA AV;14
VIRGINIA PLACE;14
VIRGINIA STREET;14
VOORHIES;14
Vance St;14
W;14
W 102 STREET;14
W 106 STREET;14
W 106TH STREET;14
W 107 STREET;14
W 108;14
W 109;14
W 11;14
W 11 AVE;14
W 110;14
W 110TH STREET;14
W 111;14
W 121ST;14
W 123ND ST;14
W 133 MORNINGSIDE DR;14
W 133RD;14
W 136TH STREET;14
W 139;14
W 140ST ST;14
W 142ND STREET;14
W 146TH STREET;14
W 148TH STREET;14
W 14TH STREET;14
W 14th Rd;14
W 15 PL;14
W 153RD STREET;14
W 156 STREET;14
W 15th Rd;14
W 163;14
W 165;14
W 165 STREET;14
W 166TH ST;14
W 167;14
W 172ND;14
W 173RD;14
W 174;14
W 174TH;14
W 177;14
W 179;14
W 179TH STREET;14
W 182ND;14
W 184;14
W 188;14
W 189;14
W 191TH STREET;14
W 192ND ST;14
W 193RD ST;14
W 195TH STREET;14
W 19TH;14
W 20;14
W 20 S;14
W 205TH STREET;14
W 208 ST;14
W 208th St;14
W 211ST ST;14
W 212TH ST;14
W 213RD ST;14
W 213TH STREET;14
W 215;14
W 217;14
W 217 ST;14
W 217 STREET;14
W 228;14
W 23 STREET;14
W 232;14
W 235TH STREET;14
W 236;14
W 237 ST;14
W 242;14
W 242TH STREET;14
W 245th St;14
W 25;14
W 252ND ST;14
W 254;14
W 256 STREET;14
W 25TH STREET;14
W 26;14
W 262;14
W 27 DRIVE;14
W 28;14
W 30TH AVE;14
W 33RD;14
W 36TH;14
W 36TH STREET;14
W 38TH;14
W 39;14
W 42ND;14
W 42ST ST;14
W 42TH ST;14
W 44TH AVE;14
W 44TH STREET;14
W 45TH STREET;14
W 50 STREET;14
W 50TH STREET;14
W 51 STREET;14
W 53;14
W 53RD STREET;14
W 55;14
W 57;14
W 57 STR;14
W 58;14
W 5TH STREET;14
W 62 ST;14
W 63 STREET;14
W 65 ST;14
W 678;14
W 67TH ST;14
W 7;14
W 70TH STREET;14
W 71 STREET;14
W 73;14
W 73 STREET;14
W 74TH STREET;14
W 77 STREET;14
W 77TH ST;14
W 7TH STREET;14
W 80 STREET;14
W 83RD;14
W 86 STREET;14
W 86TH STREET;14
W 88 STREET;14
W 88TH ST;14
W 90 STREET;14
W 90TH ST;14
W 90TH STREET;14
W 91;14
W 92;14
W 92 STREET;14
W 94TH STREET;14
W 96TH STREET;14
W 97TH ST;14
W 9TH STREET;14
W BURNSDIE AVE;14
W BWAY;14
W FORDHAM;14
W HOUSTON;14
W KINGBRIDGE RD;14
W MOSHOLU PARKWAY N;14
W MOSHOLU PARKWAY NO;14
W TREMONT;14
W TREMONT AVENUE;14
W%S 1 Avenue 10ft S/;14
W/B 70 AVE;14
W/B 89 AVE;14
W/B ETNA;14
W/B GRAND CENTRAL PA;14
W/B QUEENS MIDTOWN E;14
W/B UNION TPKE;14
W/E CONVENT AVE;14
W/O 10 AVE;14
W/O 3RD AVE;14
W/O 6 AVE;14
W/O 9 AVE;14
W/O ANDREWS AVE;14
W/O ATLANTIC AVE;14
W/O CARPENTER AVE;14
W/O GRAND CONCOURSE;14
W/O LORING PL;14
W/O MADISON AVE;14
W/O N/W/C/O RAE ST;14
W/O RIVER AVE;14
W/O S/S SEAVIEW AVEN;14
W/O SOUTH ST;14
W/O WHITE PLAINS RD;14
W/OS/S SEAVIEW AVE;14
W/S 1 LIGHTING PL;14
W/S 100 STREET;14
W/S 101 STREET;14
W/S 107 STREET;14
W/S 111 ST;14
W/S 115 ST;14
W/S 116 STREET;14
W/S 11TH AVENUE;14
W/S 11TH ST;14
W/S 121 ST;14
W/S 13 AVE;14
W/S 130 ST;14
W/S 146 ST;14
W/S 147 STREET;14
W/S 147TH ST;14
W/S 149 AVE;14
W/S 150 ROAD;14
W/S 159 ST;14
W/S 161 STREET;14
W/S 162 STREET;14
W/S 164 ST;14
W/S 170 ST;14
W/S 180 ST;14
W/S 192 SPENCER ST;14
W/S 1ST AVENUE;14
W/S 212 SPENCER ST;14
W/S 216 SPENCER ST;14
W/S 228 SPENCER ST;14
W/S 22ND ST;14
W/S 27 AVE;14
W/S 27TH ST;14
W/S 28TH ST;14
W/S 2ND AVENUE;14
W/S 31ST ST;14
W/S 42 RD;14
W/S 42 STREET;14
W/S 43 AV;14
W/S 43 AVE;14
W/S 45 STREET;14
W/S 47 STREET;14
W/S 50TH ST;14
W/S 51 ST;14
W/S 52ND ST;14
W/S 54TH AVE;14
W/S 56 RD;14
W/S 56 ROAD;14
W/S 56 STREET;14
W/S 58TH ST;14
W/S 59 ST;14
W/S 60 ST;14
W/S 62 ST;14
W/S 65 ST;14
W/S 7 AV;14
W/S 72 RD;14
W/S 73 AVE;14
W/S 73 STREET;14
W/S 79 ST;14
W/S 81 STREET;14
W/S 84 STREET;14
W/S 89 STREET;14
W/S 89TH ST;14
W/S 8TH AVE;14
W/S 90 RD;14
W/S 93 STREET;14
W/S 94 STREET;14
W/S 94TH ST;14
W/S 95 AVE;14
W/S 97TH PLACE;14
W/S 97TH ST;14
W/S 99 STREET;14
W/S ALBANY AV;14
W/S ANDREWS AVE;14
W/S AQUEDUCT AVE;14
W/S ARCHER AVE;14
W/S ATKINS AVE;14
W/S ATLANITC AVE;14
W/S AVE B;14
W/S AVENUE Z;14
W/S BAINBRIDGE AVE;14
W/S BAY 48 ST;14
W/S BAY 49 ST;14
W/S BAY PARKWAY;14
W/S BECK ST;14
W/S BEDFORD;14
W/S BRADFORD ST;14
W/S BRIGHTON 4 ST;14
W/S BRIGHTON 7TH ST;14
W/S BRONXWOOD AV;14
W/S BUFFALO AV;14
W/S BWAY;14
W/S CAPUCHIN WAY;14
W/S CENTRAL PARK W;14
W/S CHRISTOPHER ST;14
W/S CLAY AVE;14
W/S CLEVELAND ST;14
W/S COLUMBUS AVE;14
W/S CONCORD AVE;14
W/S CONCOUSRE VILLAG;14
W/S CONEY ISLAND AV;14
W/S COOPER AVE;14
W/S CRESTON AVE;14
W/S CROSS BX EXP;14
W/S CROTON PL;14
W/S CYPRESS AVENUE;14
W/S DAHILL RD;14
W/S DIVISION PL;14
W/S DUFFIELD ST;14
W/S E 103;14
W/S E 135 ST;14
W/S E 135 STREET;14
W/S E 1ST ST;14
W/S E 21 ST;14
W/S E 22 ST;14
W/S E 29 ST;14
W/S E 36 ST;14
W/S E 37 ST;14
W/S E 43 ST;14
W/S E 80;14
W/S E 93;14
W/S E 98 ST;14
W/S EAST 101 STREET;14
W/S EAST 31 STREET;14
W/S EDSION AVE;14
W/S ELTON STREET;14
W/S FITCHETT ST;14
W/S FLATBUSH AVE;14
W/S FOUNTAIN AVE;14
W/S FOUNTAIN AVENUE;14
W/S FRANKFORT ST;14
W/S FREEDOM PLACE;14
W/S GARRISON AV;14
W/S GEORGIA AV;14
W/S GRAFTON ST;14
W/S GREENE AVE;14
W/S H R DR;14
W/S HICKS;14
W/S HRDY;14
W/S HUDSON BLVD;14
W/S INDEPENDENCE AVE;14
W/S IRVING AVENUE;14
